comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,1e-5,0,0,1,22,22
equal,1,1e-5,0,0.05,0,0,0
equal,1,1e-5,0,0.1,0,0,0
equal,1,1e-5,0.041666666666666664,0,1,20,20
equal,1,1e-5,0.041666666666666664,0.05,0,0,0
equal,1,1e-5,0.041666666666666664,0.1,0,0,0
equal,1,1e-5,0.08333333333333333,0,1.01,24,23.762376237623762
equal,1,1e-5,0.08333333333333333,0.05,0,0,0
equal,1,1e-5,0.08333333333333333,0.1,0,0,0
equal,1,1e-5,0.125,0,1.01,20,19.801980198019802
equal,1,1e-5,0.125,0.05,0,0,0
equal,1,1e-5,0.125,0.1,0,0,0
equal,1,1e-5,0.16666666666666666,0,1,22,22
equal,1,1e-5,0.16666666666666666,0.05,0,0,0
equal,1,1e-5,0.16666666666666666,0.1,0,0,0
equal,1,1e-5,0.20833333333333331,0,1.01,23,22.77227722772277
equal,1,1e-5,0.20833333333333331,0.05,0,0,0
equal,1,1e-5,0.20833333333333331,0.1,0,0,0
equal,1,1e-5,0.25,0,1,23,23
equal,1,1e-5,0.25,0.05,0,0,0
equal,1,1e-5,0.25,0.1,0,0,0
equal,1,1e-5,0.29166666666666663,0,1,29,29
equal,1,1e-5,0.29166666666666663,0.05,0,0,0
equal,1,1e-5,0.29166666666666663,0.1,0,0,0
equal,1,1e-5,0.3333333333333333,0,1,25,25
equal,1,1e-5,0.3333333333333333,0.05,0,0,0
equal,1,1e-5,0.3333333333333333,0.1,0,0,0
equal,1,1e-5,0.375,0,1,21,21
equal,1,1e-5,0.375,0.05,0,0,0
equal,1,1e-5,0.375,0.1,0,0,0
equal,1,1e-5,0.41666666666666663,0,1,25,25
equal,1,1e-5,0.41666666666666663,0.05,0,0,0
equal,1,1e-5,0.41666666666666663,0.1,0,0,0
equal,1,1e-5,0.4583333333333333,0,1,24,24
equal,1,1e-5,0.4583333333333333,0.05,0,0,0
equal,1,1e-5,0.4583333333333333,0.1,0,0,0
equal,1,1e-5,0.5,0,1,24,24
equal,1,1e-5,0.5,0.05,0,0,0
equal,1,1e-5,0.5,0.1,0,0,0
equal,1,1e-5,0.5416666666666666,0,1,25,25
equal,1,1e-5,0.5416666666666666,0.05,0,0,0
equal,1,1e-5,0.5416666666666666,0.1,0,0,0
equal,1,1e-5,0.5833333333333333,0,1,24,24
equal,1,1e-5,0.5833333333333333,0.05,0,0,0
equal,1,1e-5,0.5833333333333333,0.1,0,0,0
equal,1,1e-5,0.625,0,1,25,25
equal,1,1e-5,0.625,0.05,0,0,0
equal,1,1e-5,0.625,0.1,0,0,0
equal,1,1e-5,0.6666666666666666,0,1,21,21
equal,1,1e-5,0.6666666666666666,0.05,0,0,0
equal,1,1e-5,0.6666666666666666,0.1,0,0,0
equal,1,1e-5,0.7083333333333333,0,1,26,26
equal,1,1e-5,0.7083333333333333,0.05,0,0,0
equal,1,1e-5,0.7083333333333333,0.1,0,0,0
equal,1,1e-5,0.75,0,1,25,25
equal,1,1e-5,0.75,0.05,0,0,0
equal,1,1e-5,0.75,0.1,0,0,0
equal,1,1e-5,0.7916666666666666,0,1,27,27
equal,1,1e-5,0.7916666666666666,0.05,0,0,0
equal,1,1e-5,0.7916666666666666,0.1,0,0,0
equal,1,1e-5,0.8333333333333333,0,1.01,23,22.77227722772277
equal,1,1e-5,0.8333333333333333,0.05,0,0,0
equal,1,1e-5,0.8333333333333333,0.1,0,0,0
equal,1,1e-5,0.875,0,1,24,24
equal,1,1e-5,0.875,0.05,0,0,0
equal,1,1e-5,0.875,0.1,0,0,0
equal,1,1e-5,0.9166666666666666,0,1,25,25
equal,1,1e-5,0.9166666666666666,0.05,0,0,0
equal,1,1e-5,0.9166666666666666,0.1,0,0,0
equal,1,1e-5,0.9583333333333333,0,1,25,25
equal,1,1e-5,0.9583333333333333,0.05,0,0,0
equal,1,1e-5,0.9583333333333333,0.1,0,0,0
equal,1,1e-5,1,0,1,24,24
equal,1,1e-5,1,0.05,0,0,0
equal,1,1e-5,1,0.1,0,0,0
equal,1,1.6155980984398728e-5,0,0,1.03,22,21.359223300970875
equal,1,1.6155980984398728e-5,0,0.05,0,0,0
equal,1,1.6155980984398728e-5,0,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0,1,19,19
equal,1,1.6155980984398728e-5,0.041666666666666664,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.041666666666666664,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0,1.01,23,22.77227722772277
equal,1,1.6155980984398728e-5,0.08333333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.08333333333333333,0.1,0,0,0
